"","year","variable","abb","state","value","value_real","drop"
"259",1955,"z_gasoline_tax","AZ","Arizona",0.05,0.508020196222602,NA
"260",1955,"z_gasoline_tax","CA","California",0.06,0.650877021264541,NA
"261",1955,"z_gasoline_tax","CO","Colorado",0.06,0.587650597328762,NA
"262",1955,"z_gasoline_tax","CT","Connecticut",0.04,0.300124218412759,NA
"263",1955,"z_gasoline_tax","DC","District of Columbia",0.06,0.619091110625608,NA
"264",1955,"z_gasoline_tax","DE","Delaware",0.05,0.401118865238838,NA
"265",1955,"z_gasoline_tax","FL","Florida",0.07,0.833283744716886,NA
"266",1955,"z_gasoline_tax","GA","Georgia",0.06,0.794913284918891,NA
"267",1955,"z_gasoline_tax","HI","Hawaii",0.04,0.336523153011247,NA
"268",1955,"z_gasoline_tax","IA","Iowa",0.05,0.486712774356535,NA
"269",1955,"z_gasoline_tax","ID","Idaho",0.06,0.609816874178878,NA
"270",1955,"z_gasoline_tax","IL","Illinois",0.05,0.46923134807456,NA
"271",1955,"z_gasoline_tax","IN","Indiana",0.04,0.393842811926298,NA
"272",1955,"z_gasoline_tax","KS","Kansas",0.05,0.475659080737684,NA
"273",1955,"z_gasoline_tax","KY","Kentucky",0.07,0.93007735572949,NA
"274",1955,"z_gasoline_tax","LA","Louisiana",0.07,0.894105279842679,NA
"275",1955,"z_gasoline_tax","MA","Massachusetts",0.05,0.42085042455656,NA
"276",1955,"z_gasoline_tax","MD","Maryland",0.06,0.619091110625608,NA
"277",1955,"z_gasoline_tax","ME","Maine",0.06,0.513694360932225,NA
"278",1955,"z_gasoline_tax","MI","Michigan",0.045,0.44590478106102,NA
"279",1955,"z_gasoline_tax","MN","Minnesota",0.05,0.478794776409892,NA
"280",1955,"z_gasoline_tax","MO","Missouri",0.03,0.290677897336665,NA
"281",1955,"z_gasoline_tax","MS","Mississippi",0.07,1.06473843695791,NA
"282",1955,"z_gasoline_tax","MT","Montana",0.06,0.576954053253338,NA
"283",1955,"z_gasoline_tax","NC","North Carolina",0.07,0.978384690163912,NA
"284",1955,"z_gasoline_tax","ND","North Dakota",0.05,0.455276688921608,NA
"285",1955,"z_gasoline_tax","NE","Nebraska",0.06,0.542691668130525,NA
"286",1955,"z_gasoline_tax","NH","New Hampshire",0.05,0.392996687419132,NA
"287",1955,"z_gasoline_tax","NJ","New Jersey",0.04,0.329799937330921,NA
"288",1955,"z_gasoline_tax","NM","New Mexico",0.06,0.623343954842823,NA
"289",1955,"z_gasoline_tax","NV","Nevada",0.055,0.42384173015548,NA
"290",1955,"z_gasoline_tax","NY","New York",0.04,0.3521898412846,NA
"291",1955,"z_gasoline_tax","OH","Ohio",0.05,0.497771004340032,NA
"292",1955,"z_gasoline_tax","OK","Oklahoma",0.0658,0.777734648714274,NA
"293",1955,"z_gasoline_tax","OR","Oregon",0.06,0.603780302466574,NA
"294",1955,"z_gasoline_tax","PA","Pennsylvania",0.05,0.482125822036218,NA
"295",1955,"z_gasoline_tax","RI","Rhode Island",0.04,0.312659351723909,NA
"296",1955,"z_gasoline_tax","SC","South Carolina",0.07,0.976734167706868,NA
"297",1955,"z_gasoline_tax","SD","South Dakota",0.05,0.452319597618368,NA
"298",1955,"z_gasoline_tax","TN","Tennessee",0.07,0.953367322166777,NA
"299",1955,"z_gasoline_tax","TX","Texas",0.04,0.538681544270909,NA
"300",1955,"z_gasoline_tax","UT","Utah",0.05,0.495613985726305,NA
"301",1955,"z_gasoline_tax","VA","Virginia",0.06,0.726368188099702,NA
"302",1955,"z_gasoline_tax","VT","Vermont",0.05,0.395371690428584,NA
"303",1955,"z_gasoline_tax","WA","Washington",0.065,0.666542848915055,NA
"304",1955,"z_gasoline_tax","WI","Wisconsin",0.04,0.382394435162154,NA
"305",1955,"z_gasoline_tax","WV","West Virginia",0.05,0.606451653658342,NA
"306",1955,"z_gasoline_tax","WY","Wyoming",0.05,0.42587761153049,NA
"307",1956,"z_gasoline_tax","AK","Alaska",0.05,0.39102496752524,NA
"308",1956,"z_gasoline_tax","AL","Alabama",0.07,0.954260521159059,NA
"309",1956,"z_gasoline_tax","AR","Arkansas",0.065,0.885933915285849,NA
"310",1956,"z_gasoline_tax","AZ","Arizona",0.05,0.500669421702496,NA
"311",1956,"z_gasoline_tax","CA","California",0.06,0.641459186568043,NA
"312",1956,"z_gasoline_tax","CO","Colorado",0.06,0.579147614652702,NA
