"Real Gross Domestic Product (GDP), million chained (2012) dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"471,451","487,533","499,293","509,949","502,968","513,216","519,939","534,065","545,969","545,504","546,729","537,124","511,077","523,979","541,180","545,740","556,211","574,178","578,852","583,946","593,636","597,926","613,251","594,144","629,287",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"115,089","117,596","119,685","124,228","128,891","131,293","133,417","138,097","143,471","152,858","156,220","162,387","160,092","160,564","166,327","174,874","177,699","189,360","197,072","193,025","194,017","197,453","201,162","192,486","193,230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"118,360","123,995","126,739","137,401","136,166","138,933","144,803","152,001","158,163","166,107","168,975","173,599","165,527","169,234","173,832","174,611","175,934","181,221","189,947","198,079","205,524","214,903","219,588","215,744","227,979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"496,659","509,551","524,961","538,790","547,261","555,056","568,242","584,328","594,855","597,219","617,310","629,808","610,148","627,726","637,114","647,926","655,929","669,643","682,466","688,359","694,867","704,028","715,061","680,957","710,973",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,146","41,913","43,145","45,179","45,750","47,225","48,571","50,514","51,370","52,900","51,469","50,575","50,004","51,333","51,280","51,583","51,911","52,293","52,819","52,903","52,692","52,553","53,411","51,516","54,606",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"134,608","139,526","146,104","150,156","151,016","155,275","161,269","164,083","169,489","173,371","178,475","176,568","168,852","172,131","176,083","177,618","180,882","185,987","192,020","198,006","202,512","207,101","213,238","208,234","221,045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,951","26,440","27,463","29,386","29,455","32,785","32,979","34,270","35,842","36,351","37,756","39,081","39,987","40,370","43,050","43,902","44,147","44,847","45,665","46,076","45,776","46,300","46,651","47,402","49,558",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"210,637","223,711","230,896","233,732","233,363","240,972","248,994","260,554","268,392","274,879","273,224","274,571","264,737","268,450","276,898","286,342","289,795","294,130","304,484","310,143","318,964","323,542","331,177","323,454","352,461",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"870,724","925,557","961,513","995,661","1,020,538","1,043,567","1,050,609","1,109,477","1,141,374","1,228,547","1,286,193","1,282,089","1,277,295","1,309,962","1,353,600","1,421,180","1,484,700","1,529,617","1,605,902","1,619,954","1,659,453","1,728,304","1,779,781","1,747,562","1,815,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80,659","85,725","89,282","92,498","93,557","95,383","97,017","102,847","110,046","118,482","123,835","124,226","121,431","123,902","127,993","129,513","133,113","136,994","141,721","147,962","154,758","164,622","172,038","174,955","186,910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"298,922","315,091","332,373","348,327","360,601","364,932","377,724","392,941","412,085","419,871","424,940","431,217","427,649","441,242","444,288","445,974","449,064","447,678","455,162","459,966","467,362","477,915","489,199","478,909","505,351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,049","20,678","21,830","23,017","23,752","24,570","25,465","26,855","26,996","27,129","26,887","27,758","27,222","28,404","29,014","29,241","28,682","28,912","29,119","29,408","29,491","29,602","29,941","29,065","30,547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"271,271","288,207","308,950","311,210","303,674","307,583","312,556","319,849","340,428","353,264","373,181","381,290","370,137","380,990","387,745","400,531","410,874","424,468","441,952","458,264","482,007","515,029","533,150","538,856","575,129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"209,112","216,956","225,784","232,412","236,089","240,543","247,766","256,167","263,699","268,246","269,934","266,627","258,761","266,831","272,813","277,107","278,015","283,981","289,077","291,920","291,923","299,063","303,669","293,105","306,467",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,934","59,847","61,784","61,666","61,819","62,834","63,146","64,160","65,678","66,861","67,119","68,484","68,192","69,154","70,361","70,322","70,550","70,533","70,663","70,011","71,426","73,170","72,633","70,444","71,343",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,960","25,530","26,598","27,435","29,131","29,777","30,673","31,696","33,484","37,813","40,632","42,868","41,546","40,057","39,768","38,855","38,850","39,559","40,418","38,189","37,522","38,080","38,447","36,269","36,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,529,157","12,045,824","12,623,361","13,138,035","13,263,417","13,488,357","13,865,519","14,399,696","14,901,269","15,315,943","15,623,871","15,642,962","15,236,262","15,648,991","15,891,534","16,253,970","16,553,348","16,932,051","17,390,295","17,680,274","18,076,651","18,609,078","19,036,052","18,509,143","19,609,812",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
