"","abb","year","est","std_err"
"261","HI",2017,1.4489502775,0.264545573005603
"262","HI",2018,1.4824933425,0.261452557631528
"263","HI",2019,1.608820289,0.284867370012644
"264","HI",2020,1.768587091,0.287386067372148
"265","IA",1999,-0.524060991951,0.368216784179475
"266","IA",2000,-0.6035549917483,0.359903070533214
"267","IA",2001,-0.466489678753,0.34112778558651
"268","IA",2002,-0.4671220060738,0.338324888933203
"269","IA",2003,-0.3280773411795,0.318168252428108
"270","IA",2004,-0.3330827911925,0.319000095869597
"271","IA",2005,-0.176072148147,0.298407992797484
"272","IA",2006,-0.0364014889073,0.274110406845412
"273","IA",2007,0.17093427538105,0.279933130264388
"274","IA",2008,0.523824225245,0.255490382319516
"275","IA",2009,0.524015410097,0.240389569655613
"276","IA",2010,0.82095484255,0.23103965179334
"277","IA",2011,0.81618515375,0.237049657278633
"278","IA",2012,0.8093480021,0.247871227894744
"279","IA",2013,0.80782452295,0.238847717141482
"280","IA",2014,0.81063082115,0.233078841246088
"281","IA",2015,0.81561675535,0.240971020583233
"282","IA",2016,0.8093916776,0.235722196881648
"283","IA",2017,0.775295666,0.224218022382634
"284","IA",2018,0.8167765199,0.22667139031316
"285","IA",2019,0.7662633399525,0.240129777765434
"286","IA",2020,0.7860367559,0.233944191658593
"287","ID",1999,-1.47169603445,0.522836576611652
"288","ID",2000,-1.520257429,0.50210949482746
"289","ID",2001,-1.511184692,0.515123578544416
"290","ID",2002,-1.5161101245,0.491848958341871
"291","ID",2003,-1.5041611585,0.50037449552687
"292","ID",2004,-1.50771296788,0.481730670326848
"293","ID",2005,-1.50975156185,0.512816407005901
"294","ID",2006,-1.5158795545,0.489067224238183
"295","ID",2007,-0.71077308243,0.348698453486876
"296","ID",2008,-0.7252950826545,0.395077603774358
"297","ID",2009,-0.7168496697835,0.376177348282911
"298","ID",2010,-0.719285726633,0.360658200099413
"299","ID",2011,-0.718304420912,0.384213957825206
"300","ID",2012,-0.705883055508,0.363763710290271
