"","State","Year","CI","EI","RealGDP","Population","IncomePerCapita","CoalPrice","NatGasPrice","OilPrice","Emissions","Area","PropFarmWages","PropMiningWages","PropRenewableConsumption","PropNatGasConsumption","GDPPerCapita","CoalValue","NatGasValue","OilValue","AdjMeanChamber","AdjPercentUnion","PropRenewableProduction","PropCoalProduction","PropNatGasProduction","PropOilProduction","Weighted_GHI","Weighted_Speed120m"
"980","TX","2011",53.7,8.74,1341334.4,25646,41937,1.9,4.73,24.4,635,262134,0.00248870810157626,0.0536576675357664,0.0443769730870107,0.321314205195047,52.3018950323637,0.857393204856298,28.260589693368,55.898906342818,0.843,0.071,0.638435636145387,0.0482195860471738,0.638435636145387,0.244799499839996,0.565555931379376,1.32030732142556
"981","TX","2012",52.7,8.35,1421180.1,26084,43863,1.91,3.52,22.91,627.1,262134,0.00241682372915494,0.0569465748832372,0.0449698886930021,0.334210510119627,54.4847454378163,0.777741870998616,21.1121024281159,67.8741950580366,0.843,0.076,0.601226478056155,0.0408179689714115,0.601226478056155,0.296981147459927,0.565555931379376,1.32030732142556
"982","TX","2013",52.5,8.51,1515195.6,26480,44396,2,4.47,22.1,657.8,262134,0.00206199061999981,0.05836561976207,0.0462420187465119,0.326989093121279,57.2203776435045,0.745580306595399,26.0360437424713,78.5356818618006,0.8195,0.057,0.563000252045791,0.036033425699089,0.563000252045791,0.343491397494074,0.565555931379376,1.32030732142556
"983","TX","2014",53,8.25,1579299.5,26963,46739,2.03,5.21,21.65,662,262134,0.00230359409012078,0.0613156656052815,0.0502253373009555,0.321651629657548,58.5728405592849,0.741411043313824,30.898961697892,92.2392421133547,0.8195,0.056,0.531327172040614,0.032720420493791,0.531327172040614,0.381692554787274,0.565555931379376,1.32030732142556
"984","TX","2015",51.6,7.94,1573498.4,27469,46760,2,3.48,14.1,655.3,262134,0.00244868056878596,0.0525467799041454,0.0527439916805171,0.334248052100558,57.2826968582766,0.598992665006841,20.7723456979683,64.640594995203,1.029,0.044,0.519729988491287,0.0260773218598142,0.519729988491287,0.399169832143672,0.565555931379376,1.32030732142556
"985","TX","2016",50.9,8.02,1579014.9,27914,45862,1.83,3.27,12.46,656.9,262134,0.00205460886463829,0.042708068026136,0.0631927264406993,0.319581288088743,56.5671311886509,0.597678850275574,17.9340722497299,52.7692907394351,1.029,0.025,0.509050708680524,0.0303142398341692,0.509050708680524,0.393090998268403,0.565555931379376,1.32030732142556
"986","TX","2017",51.1,7.94,1673234.3,28291,48518,1.76,3.91,14.65,665.1,262134,0.00198316564452676,0.0397115640663304,0.0694878435483865,0.302731989461486,59.1436958750133,0.498867516641274,20.4123871295251,63.9326395293235,1.0945,0.041,0.492815928133612,0.0267571747771453,0.492815928133612,0.4119577785532,0.565555931379376,1.32030732142556
"987","TX","2018",49,8.11,1809396.7,28625,51341,1.78,3.89,16.75,684.8,262134,0.00210737592468496,0.0416136409412185,0.0720470036184836,0.327919281319873,63.2103650655022,0.323469894689208,21.0194342622599,85.168415804008,1.0945,0.051,0.47374621280087,0.0159326565528678,0.47374621280087,0.445797970918439,0.565555931379376,1.32030732142556
"988","TX","2019",48.4,8,1858757.8,28987,53247,2.01,3.22,14.78,683.4,262134,0.00145981657786587,0.0417653735084048,0.07521211992262,0.336721817039014,64.1238417221513,0.333546678324632,19.6155219146895,84.4669539302,0.953,0.027,0.478808671900388,0.0130430324207832,0.478808671900388,0.449190341993267,0.565555931379376,1.32030732142556
"989","TX","2020",46.8,7.72,1789933.4,29232,55118,2.05,2.9,11.67,624.7,262134,0.00125859536451112,0.0336788753976117,0.0851791982898035,0.349624560734021,61.2319854953476,0.300651130371666,18.5744247802739,65.7875286086063,0.953,0.028,0.491849913249848,0.0112622251086742,0.491849913249848,0.432900352667971,0.565555931379376,1.32030732142556
"990","UT","1998",75.2,8.26,62296.1,2166,22207,1.17,4.17,7.6,63.6,82096,0.003185343919727,0.0118711532132587,0.0290030919869653,0.251370488968994,28.7608956602031,11.2836567618198,20.644666520055,13.5849659930557,0.5865,0.055,0.296532998481823,0.577650584628047,0.296532998481823,0.107064668197984,4.95006518562732,2.48872277109143
"991","UT","1999",75.15,7.84,66019.3,2203,22995,1.07,4.05,8.3,62.45,82096,0.00297257424269985,0.0106202679962231,0.0303474609938808,0.241875094675047,29.9679073990014,10.0545572279621,18.0453889998834,11.8513237795614,0.575,0.037,0.285825472523116,0.602793939888608,0.285825472523116,0.0915964149264057,4.95006518562732,2.48872277109143
"992","UT","2000",75.99,8.05,70295.9,2245,24162,1.06,4.88,10.53,65.4,82096,0.0031934363984304,0.010766729513605,0.0220301418439716,0.2329666344294,31.3122048997773,9.51899328410334,20.9151088470309,13.5847918584156,0.575,0.058,0.290070515017658,0.607782839933606,0.290070515017658,0.087314806613238,4.95006518562732,2.48872277109143
"993","UT","2001",76.64,7.63,73057.6,2284,24867,1.15,6.43,10.12,63.19,82096,0.00316501096054379,0.0108813411844111,0.0169864940005238,0.234715586873003,31.9866900175131,10.08359294584,27.8132599483148,12.2538304023127,0.6505,0.049,0.299288274764771,0.606689175431037,0.299288274764771,0.0837799570976006,4.95006518562732,2.48872277109143
"994","UT","2002",77,7.27,75796.9,2325,25167,0.98,5.15,9.66,62.6,82096,0.00360896250228289,0.00986445158301795,0.0161863374627952,0.248439380508652,32.6008172043011,7.5885356788998,20.041929155414,10.1793545646326,0.6505,0.051,0.303268078683927,0.603429184774395,0.303268078683927,0.0821178408288276,4.95006518562732,2.48872277109143
"995","UT","2003",76.6,7.26,78945.4,2360,25749,1.04,5.89,10.82,63.6,82096,0.00312792995584757,0.00963346712136755,0.0149336997673352,0.232135277742683,33.4514406779661,7.06305877226539,21.6064055663788,10.4112419469659,0.6915,0.025,0.317554149793686,0.587908912771489,0.317554149793686,0.0832963251718001,4.95006518562732,2.48872277109143
"996","UT","2004",77.4,7.15,86081.9,2402,26980,1.17,6.79,13.08,66,82096,0.00318609077208481,0.0104254026980259,0.0145697669517165,0.22320910165115,35.83759367194,6.66192103101814,23.4940804048238,12.9938604979676,0.7025,0.009,0.336900446219015,0.554404221265814,0.336900446219015,0.0967260305736374,4.95006518562732,2.48872277109143
"997","UT","2005",76.9,6.93,95355.1,2458,28751,1.19,8.22,16.53,67.5,82096,0.00344774912322894,0.011991711288912,0.0206951567848703,0.221436734329713,38.7937754271766,6.91649413612906,27.7128059222842,16.7636611990339,0.6865,0.018,0.326039973184883,0.562083992977766,0.326039973184883,0.0980749707660462,4.95006518562732,2.48872277109143
"998","UT","2006",75.9,6.58,106537.3,2526,31107,1.27,8.81,18.96,68.8,82096,0.00304413067553585,0.0142141232575267,0.019333354720734,0.253946296236887,42.1762866191607,7.07280614395146,30.7703704711871,18.5043540619107,0.6895,0.045,0.343708981811363,0.548052418300774,0.343708981811363,0.0960438722001406,4.95006518562732,2.48872277109143
"999","UT","2007",75.5,6.31,114813.4,2598,32924,1.39,7.19,20.85,70.7,82096,0.00327958418599433,0.0154569856411482,0.0182196939142637,0.295925984253985,44.1929946112394,6.73654852133984,25.0475248533708,20.5757128523326,0.69,0.034,0.370089253494359,0.514864787340549,0.370089253494359,0.104838157488096,4.95006518562732,2.48872277109143
"1000","UT","2008",75,6.18,117178.9,2663,33784,1.41,7.36,25.73,69.8,82096,0.00293018677462479,0.0174366284672959,0.0231668828023686,0.309118322578629,44.0025910627112,6.78831487580102,29.1255357406496,28.0678772372842,0.69,0.018,0.396456159400155,0.482327392733631,0.396456159400155,0.10928708528729,4.95006518562732,2.48872277109143
"1001","UT","2009",74.5,6.11,113985.4,2723,31796,1.59,6.42,18.08,65.1,82096,0.00343045106338355,0.0145892609936164,0.0274581029314801,0.301556417610185,41.8602276900477,7.01081735029223,26.7657047306059,21.1061865817903,0.6745,0.064,0.42172998588962,0.446028238509802,0.42172998588962,0.118087022887215,4.95006518562732,2.48872277109143
"1002","UT","2010",73.8,6.07,118669.8,2775,32038,1.71,6.25,22.54,64,82096,0.00296766713292623,0.0148131357141118,0.0302564845289457,0.304382546349384,42.7638918918919,6.42230222010992,24.5411532673014,27.1697963593096,0.702,0.06,0.434515872142576,0.415609363081439,0.434515872142576,0.133389967381027,4.95006518562732,2.48872277109143
"1003","UT","2011",72.8,6.17,125565,2815,34022,1.8,6.5,28.26,64.5,82096,0.00284519557244786,0.0165019071604114,0.0396295733252255,0.292226613965744,44.6056838365897,6.50630510094373,25.7081949587863,34.2997830605662,0.741,0.033,0.440550991459952,0.402624199730856,0.440550991459952,0.135193923055292,4.95006518562732,2.48872277109143
"1004","UT","2012",72.3,6.06,129512.5,2854,35633,1.95,5.86,28.78,61.6,82096,0.00310074603475413,0.0174605357986469,0.0356990912819624,0.296320545383677,45.3792922214436,5.82879297365119,24.1675652929254,38.9365817199112,0.727,0.045,0.477973812694186,0.346427881104764,0.477973812694186,0.156796314591298,4.95006518562732,2.48872277109143
"1005","UT","2013",73,6.16,135450.4,2899,36116,2.05,6.29,28.19,66.5,82096,0.00332225757207833,0.0165054789254513,0.0304946743138058,0.315372554183492,46.7231459123836,5.83799531046051,23.9706571556821,42.2678092497327,0.7185,0.033,0.459980395651399,0.34373195508822,0.459980395651399,0.180977544109784,4.95006518562732,2.48872277109143
"1006","UT","2014",72.5,5.79,142150.1,2938,37638,2.11,6.82,27.48,65.3,82096,0.00303879411752566,0.0159354133044961,0.0374137268126036,0.317231946449169,48.3832879509871,6.10061948602217,24.0521536038314,45.8686596773411,0.7185,0.019,0.427813391772143,0.350732703887273,0.427813391772143,0.202480918636246,4.95006518562732,2.48872277109143
"1007","UT","2015",72,5.62,149153.4,2984,39899,1.96,6.4,19.59,63.6,82096,0.00239648137206072,0.0128553507955118,0.0424241206333098,0.305009557924034,49.9843833780161,4.27360931765551,19.7903742053483,27.8846753074352,0.722,0.011,0.450971131996511,0.317989995345763,0.450971131996511,0.207589730953806,4.95006518562732,2.48872277109143
"1008","UT","2016",69,5.44,157827.3,3044,41312,1.95,6,17.04,58.8,82096,0.00259835772436717,0.0101114994998487,0.0591037037129011,0.310659178699274,51.848653088042,3.83573279147524,15.2790676898103,18.8596284673184,0.73,0.026,0.435158598168888,0.336136519155644,0.435158598168888,0.189132214224463,4.95006518562732,2.48872277109143
"1009","UT","2017",68.3,5.33,168649.9,3104,43044,1.97,6.51,19.42,59,82096,0.00265789359075701,0.00924622051739003,0.0777985463608109,0.280195257005154,54.3330863402062,3.71184898419744,13.3893389797444,22.6947562969204,0.732,0.02,0.379098582374935,0.347294643276746,0.379098582374935,0.215402287042026,4.95006518562732,2.48872277109143
"1010","UT","2018",68.2,5.12,184457.5,3155,45473,2.03,6.12,22.5,61.2,82096,0.0024630762243484,0.00956306280115659,0.0727624588168947,0.301349321777329,58.4651347068146,3.36020947914831,10.8267671414825,25.8339997018283,0.74,0.028,0.365106750536494,0.341619618557878,0.365106750536494,0.236963590022444,4.95006518562732,2.48872277109143
"1011","UT","2019",67.7,4.96,196538.9,3203,48156,1.99,5.47,21.63,61.5,82096,0.00166202025078098,0.00919656851137957,0.0703732808970078,0.323776352357117,61.3608804246019,3.30106538705569,8.33680090811539,23.1603195092676,0.7725,0.029,0.338770584782557,0.36871825552556,0.338770584782557,0.238002553694884,4.95006518562732,2.48872277109143
"1012","UT","2020",66.9,4.73,202133.4,3284,51751,2.05,5.45,18.22,57.4,82096,0.00229248658503783,0.00838246149439647,0.0749092421309936,0.322285635534773,61.5509744214373,3.0036817270179,7.17172669138302,15.9028638512982,0.755,0.014,0.336958518340227,0.375188279483395,0.336958518340227,0.223499306422088,4.95006518562732,2.48872277109143
"1013","VA","1998",57.9,7.13,231384,6901,28965,1.45,5.32,6.97,111.9,39780,0.00155623695913021,0.00349488375437586,0.0561726935053747,0.120882870290565,33.5290537603246,5.67736814127165,1.37322511496041,0.000873569477578398,0.0645,0.099,0.0434527022799464,0.659121895430067,0.0434527022799464,0.0000210984892026663,1.6135448632829,3.50876210287736
"1014","VA","1999",57.61,6.95,249801.1,7000,30574,1.42,5.32,7.57,113.93,39780,0.0014937430052728,0.003093145861813,0.0531966035248434,0.124359566250408,35.6858714285714,4.85870358457189,1.59582259645774,0.0013939890576943,0.0645,0.105,0.0556842823362251,0.635172532694043,0.0556842823362251,0.0000341840200110281,1.6135448632829,3.50876210287736
