"","State","Year","Chamber","CI","EI","GDPCurrent","Renewables","NatGas","FarmWages","MiningWages","Population","IncomePC","ManuUnion","TotalProd","CoalProd","RenProd","GasProd","OilProd","CoalPrice","NatPrice","OilPrice","Emissions","Area","GDPpc","CoalValue","NatValue","OilValue","CI_Lag1","EI_Lag1","Emissions_Lag1","Weighted_GHI","Weighted_Speed120m"
"362","KS",2014,10.684,58.3,7.8,150183.6,1.13398109660851,1.25723703370311,0.00752916048282804,0.00965492555323083,2902,46290,1.115,875514,1.00168358244414,1.36281087452628,1.36281087452628,1.32804044252862,1.8,7.7,26.33,70.3,81787,51.7517574086837,1.01766637635534,17.2858940656636,51.3522443196194,58.3,7.8,70.3,0.147852572666792,0.35493068917896
"363","KS",2015,10.6885,56.8,7.4,154958.2,1.13611725683811,1.25468831173549,0.00676502258958181,0.00716088679455448,2911,46597,1.112,850525,1.00515799065283,1.37453102495517,1.37453102495517,1.30571117838982,1.71,6.43,18.55,64.5,81787,53.2319477842666,1.04841157163674,14.2181687706749,32.1263182587304,56.8,7.4,64.5,0.147852572666792,0.35493068917896
"364","KS",2016,10.686,55.1,7.11,160451,1.16389424335451,1.25299072075684,0.00753773286196111,0.00567640583658794,2913,46718,1.114,791367,1.00077966354422,1.35589808521204,1.35589808521204,1.27435564030342,1.7,5.81,16.1,62.6,81787,55.0810161345692,1.00653719827237,11.1985232874834,22.7858885267153,55.1,7.11,62.6,0.147852572666792,0.35493068917896
"365","KS",2017,10.3215,50.8,6.91,165182.5,1.20440933954779,1.25959444791174,0.00678812571123424,0.0054541367598313,2911,48272,1.123,822120,1,1.31284970563908,1.31284970563908,1.2493869508101,1.72,6.47,18.38,59,81787,56.7442459635864,1,11.0742148835379,23.8134207921541,50.8,6.91,59,0.147852572666792,0.35493068917896
"366","KS",2018,10.2685,51.9,7.16,172343,1.19617503755056,1.28333195398494,0.0063505812504634,0.00559172372292845,2913,50283,1.126,784791,1,1.30250346907648,1.30250346907648,1.25240350615642,1.71,6.32,21.08,62.9,81787,59.1634054239615,1,9.70578230621493,25.2284903941558,51.9,7.16,62.9,0.147852572666792,0.35493068917896
"367","KS",2019,10.396,50.2,7.06,176564.4,1.21176658149144,1.2833810875563,0.00703493435364332,0.00544328551401005,2913,52127,1.129,772341,1,1.27535117260381,1.27535117260381,1.24497987287998,1.62,5.68,20.03,60.5,81787,60.6125643666323,1,7.84134060999839,22.4643282564322,50.2,7.06,60.5,0.147852572666792,0.35493068917896
"368","KS",2020,10.3995,48.1,6.75,177580.9,1.2437098713827,1.28183965572382,0.00633632968120012,0.00451277904138261,2938,55041,1.17,759840,1,1.24881554011371,1.24881554011371,1.21166692987997,1.56,5.38,16.23,57.8,81787,60.4427842069435,1,6.7277713988385,15.699326278896,48.1,6.75,57.8,0.147852572666792,0.35493068917896
"369","KY",1998,9.7945,78.8,11.44,109382.3,1.02539509732652,1.12295929665661,0.00395723443075689,0.0189011728299469,3985,22433,1.204,3981364,1.96265551203055,1.02216828202596,1.02216828202596,1.00425532556179,1.1,4.69,7.13,141.4,39650,27.4485069008783,39.5432579128433,4.78433622258811,2.10435106959718,78.8,11.44,141.4,0.639566729073384,1.35405766453134
"370","KY",1999,NA,78.68,11.67,115106.8,1.02121279058174,1.12415671321556,0.00395871261554473,0.0167924505763089,4018,23189,1.208,3640123,1.96229907615759,1.02278082361503,1.02278082361503,1.00442485047895,1.11,4.25,7.77,146.22,39650,28.6477849676456,34.7791040147063,4.06177610705884,2.08726321989665,78.68,11.67,146.22,0.639566729073384,1.35405766453134
"371","KY",2000,10.164,78.96,11.9,114169.2,1.02012961148729,1.1299060588544,0.00350354401972033,0.014967055819782,4049,24815,1.234,3413474,1.95802516732221,1.02552531526533,1.02552531526533,1.00588755033728,1.06,5.77,10.08,147.1,39650,28.1968881205236,31.362003412479,5.40346520777933,2.77436436446958,78.96,11.9,147.1,0.639566729073384,1.35405766453134
